RBG_CYC_83758_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C3C3_0000_11_3 (300407 Points)
Capacity (mAh)	Voltage (V)
216.77	2.9997
0	3.0815
0.21	3.1321
0.75	3.1857
1.7	3.2362
3.16	3.2862
5.12	3.3364
5.61	3.3463
8.31	3.3965
11.21	3.4375
16.82	3.4688
22.42	3.4824
28.03	3.4964
33.63	3.5097
39.24	3.5239
44.84	3.5404
50.45	3.559
56.05	3.5766
61.66	3.5946
67.26	3.6104
72.87	3.6235
78.47	3.6337
84.08	3.6424
89.68	3.6514
95.29	3.6604
100.89	3.6697
106.5	3.6799
112.1	3.6914
117.71	3.7044
123.31	3.7189
128.92	3.7351
134.52	3.7537
140.13	3.7744
145.73	3.7971
151.34	3.8203
156.94	3.8442
162.55	3.8687
168.15	3.8935
173.76	3.9183
179.36	3.9428
184.97	3.9682
190.57	3.9936
196.18	4.0197
201.78	4.0463
207.39	4.0739
212.91	4.0981
215.73	4.0981
216.86	4.0981
0	4.0873
5.61	4.0414
11.21	4.0094
16.82	3.9787
22.42	3.9481
28.03	3.9171
33.63	3.8854
39.24	3.8566
44.84	3.8296
50.45	3.8042
56.05	3.7794
61.66	3.7549
67.26	3.7317
72.87	3.7096
78.47	3.6886
84.08	3.669
89.68	3.6514
95.29	3.6359
100.89	3.6219
106.5	3.6095
112.1	3.598
117.71	3.5872
123.31	3.577
128.92	3.567
134.52	3.5568
140.13	3.5456
145.73	3.5339
151.34	3.5205
156.94	3.506
162.55	3.4886
168.15	3.4694
173.76	3.4505
179.36	3.4347
184.97	3.4192
190.57	3.4012
196.18	3.3801
201.78	3.3485
206.77	3.2983
207.39	3.2896
210.04	3.2393
212.06	3.1888
212.99	3.1612
214.41	3.1107
215.59	3.0602
216.56	3.0099
216.75	2.9994
0	3.0788
0.22	3.1302
0.75	3.1811
1.66	3.2313
3.1	3.2815
5.06	3.332
5.61	3.3435
8.26	3.3937
11.21	3.4359
16.82	3.4672
22.42	3.4818
28.03	3.496
38.79	3.5224
39.24	3.5239
44.84	3.5398
50.45	3.5577
56.05	3.576
61.66	3.5946
67.26	3.6104
72.87	3.6232
78.47	3.6334
84.08	3.6424
89.68	3.6511
95.29	3.6604
100.89	3.6697
106.5	3.6796
112.1	3.6914
117.71	3.7041
123.31	3.7189
128.92	3.7354
134.52	3.754
140.13	3.7744
145.73	3.7968
151.34	3.8203
156.94	3.8445
162.55	3.869
168.15	3.8935
173.76	3.9183
179.36	3.9431
184.97	3.9679
190.57	3.9936
196.18	4.0197
201.78	4.0466
207.39	4.0739
212.9	4.0984
215.7	4.0981
216.81	4.0981
0	4.0479
4.47	4.0479
5.61	4.0414
11.21	4.0094
16.82	3.9787
22.42	3.9477
28.03	3.9164
33.63	3.8854
39.24	3.8563
44.84	3.8296
50.45	3.8039
56.05	3.7788
61.66	3.7549
67.26	3.7317
72.87	3.7093
78.49	3.6883
84.09	3.6684
89.7	3.6511
95.3	3.6356
100.91	3.6216
106.51	3.6095
112.12	3.5977
117.72	3.5869
123.33	3.5766
128.93	3.5667
134.54	3.5568
140.14	3.5453
145.75	3.5336
151.35	3.5202
156.96	3.5053
162.56	3.4883
168.17	3.4688
173.77	3.4499
179.38	3.4343
184.98	3.4185
190.59	3.4009
196.19	3.3798
201.8	3.3479
206.69	3.2979
207.4	3.2877
210.02	3.2375
212	3.1873
213.01	3.1572
214.43	3.1063
215.61	3.0552
216.6	3.004
216.67	2.9994
0	3.0766
0.02	3.0766
0.22	3.1268
0.75	3.1773
1.66	3.2276
3.1	3.2784
5.03	3.3286
5.61	3.3413
8.26	3.3913
11.21	3.4347
16.82	3.4672
22.42	3.4815
28.03	3.4957
33.63	3.5094
39.24	3.5233
44.84	3.5394
50.45	3.5577
56.05	3.5757
61.66	3.594
67.26	3.6101
72.87	3.6232
78.47	3.6337
84.08	3.6424
89.68	3.6511
95.29	3.66
100.89	3.6697
106.5	3.6799
112.1	3.6914
117.71	3.7038
123.31	3.7186
128.92	3.7351
134.52	3.754
140.13	3.7748
145.73	3.7971
151.34	3.8203
156.94	3.8448
162.55	3.8693
168.15	3.8941
173.76	3.9186
179.36	3.9434
184.97	3.9685
190.57	3.9939
196.18	4.02
201.78	4.0469
207.39	4.0745
212.88	4.0984
215.62	4.0981
216.7	4.0981
0	4.0873
5.61	4.0414
11.21	4.0094
16.82	3.9787
22.42	3.9477
28.03	3.9164
33.63	3.8851
39.24	3.856
44.84	3.8293
50.45	3.8042
