RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269953 Points)
Time (s)	Current (mAh)
157914	-40.38
158214	-40.38
158514	-40.38
158814	-40.38
159114	-40.38
159414	-40.38
159714	-40.38
160014	-40.39
160314	-40.38
160614	-40.38
160914	-40.38
161214	-40.38
161514	-40.38
161814	-40.38
162114	-40.38
162414	-40.38
162714	-40.38
163014	-40.38
163314	-40.38
163614	-40.38
163914	-40.39
164214	-40.39
164514	-40.38
164814	-40.38
165114	-40.38
165414	-40.38
165714	-40.38
166014	-40.38
166314	-40.38
166614	-40.38
166914	-40.39
167214	-40.38
167514	-40.38
167814	-40.38
168114	-40.39
168414	-40.38
168714	-40.38
169014	-40.38
169314	-40.38
169614	-40.38
169914	-40.38
170214	-40.38
170514	-40.38
170814	-40.38
171114	-40.39
171414	-40.38
171714	-40.38
172014	-40.39
172314	-40.38
172614	-40.38
172914	-40.38
173214	-40.38
173514	-40.39
173814	-40.38
174114	-40.39
174414	-40.38
174714	-40.38
175014	-40.38
175281	-40.38
175314	-40.38
175504	-40.38
175614	-40.38
175749	-40.38
175860	-40.38
175914	-40.38
175993	-40.38
175994	40.38
176008	40.38
176052	40.38
176135	40.38
176261	40.38
176293	40.38
176466	40.38
176593	40.39
176853	40.39
176893	40.39
177193	40.38
177493	40.39
177793	40.39
178093	40.38
178393	40.39
178693	40.38
178993	40.38
179293	40.39
179593	40.39
179893	40.38
180193	40.38
180493	40.38
180793	40.38
181093	40.38
181393	40.38
181693	40.38
181994	40.38
182294	40.38
182594	40.38
182894	40.38
183194	40.38
183494	40.38
183794	40.38
184094	40.39
184394	40.38
184694	40.38
184994	40.38
185294	40.39
185594	40.38
185894	40.38
186194	40.38
186494	40.38
186794	40.38
187094	40.38
187394	40.39
187694	40.38
187994	40.38
188294	40.39
188594	40.38
188894	40.38
189194	40.38
189494	40.38
189794	40.39
190094	40.38
190394	40.38
190694	40.38
190994	40.38
191294	40.38
191594	40.38
191894	40.38
192194	40.38
192494	40.38
192794	40.38
193094	40.39
193394	40.38
193694	40.38
193994	40.38
194294	40.38
194594	40.38
194894	40.39
195193	40.39
195493	23
195793	11.17
195843	10.06
195846	-40.38
196143	-40.38
196443	-40.38
196743	-40.39
197043	-40.38
197343	-40.38
197643	-40.38
197943	-40.39
198243	-40.38
198543	-40.38
198843	-40.38
199143	-40.38
199443	-40.38
199743	-40.38
200043	-40.38
200343	-40.38
200643	-40.38
200943	-40.38
201243	-40.39
201543	-40.38
201843	-40.38
202143	-40.38
202443	-40.38
202743	-40.38
203043	-40.38
203343	-40.38
203643	-40.38
203943	-40.38
204243	-40.38
204543	-40.38
204843	-40.38
205143	-40.38
205443	-40.38
205743	-40.38
206043	-40.38
206343	-40.38
206643	-40.38
206943	-40.39
207243	-40.38
207543	-40.39
207843	-40.38
